I1003 05:21:56.610005       1 log.go:194] falcon-pod-01 in Prefilter
I1003 05:21:56.610569       1 log.go:194] falcon-pod-01 requires 5 gpu(s), and currently has 8 gpus(s) in total
I1003 05:21:56.618170       1 log.go:194] css-host-128 has 4 gpu, falcon-pod-01 requires 5 gpu -> score: -1
I1003 05:21:56.618201       1 log.go:194] css-host-129 has 4 gpu, falcon-pod-01 requires 5 gpu -> score: -1
I1003 05:21:56.630206       1 event.go:307] "Event occurred" object="default/falcon-pod-01" fieldPath="" kind="Pod" apiVersion="v1" type="Normal" reason="Reconfig" message="Pod falcon-pod-01 needs reconfiguration"
I1003 05:22:30.023316       1 schedule_one.go:252] "Successfully bound pod to node" pod="default/falcon-pod-01" node="css-host-128" evaluatedNodes=2 feasibleNodes=2
I1003 05:24:03.771867       1 log.go:194] falcon-pod-02 in Prefilter
I1003 05:24:03.772325       1 log.go:194] falcon-pod-02 requires 4 gpu(s), and currently has 8 gpus(s) in total
I1003 05:24:03.779132       1 log.go:194] css-host-128 has 5 gpu, falcon-pod-02 requires 4 gpu -> score: 80
I1003 05:24:03.779166       1 log.go:194] css-host-129 has 3 gpu, falcon-pod-02 requires 4 gpu -> score: -1
I1003 05:24:03.788202       1 schedule_one.go:252] "Successfully bound pod to node" pod="default/falcon-pod-02" node="css-host-128" evaluatedNodes=2 feasibleNodes=2
I1003 05:24:31.571668       1 log.go:194] falcon-pod-03 in Prefilter
I1003 05:24:31.572083       1 log.go:194] falcon-pod-03 requires 4 gpu(s), and currently has 4 gpus(s) in total
I1003 05:24:31.579520       1 log.go:194] css-host-128 has 1 gpu, falcon-pod-03 requires 4 gpu -> score: -3
I1003 05:24:31.579553       1 log.go:194] css-host-129 has 3 gpu, falcon-pod-03 requires 4 gpu -> score: -1
I1003 05:24:31.591324       1 event.go:307] "Event occurred" object="default/falcon-pod-03" fieldPath="" kind="Pod" apiVersion="v1" type="Normal" reason="Reconfig" message="Pod falcon-pod-03 needs reconfiguration"
I1003 05:25:10.798985       1 schedule_one.go:252] "Successfully bound pod to node" pod="default/falcon-pod-03" node="css-host-129" evaluatedNodes=2 feasibleNodes=2
I1003 05:26:18.832227       1 log.go:194] falcon-pod-01 in Prefilter
I1003 05:26:18.832754       1 log.go:194] falcon-pod-01 requires 5 gpu(s), and currently has 8 gpus(s) in total
I1003 05:26:18.840966       1 log.go:194] css-host-128 has 4 gpu, falcon-pod-01 requires 5 gpu -> score: -1
I1003 05:26:18.841001       1 log.go:194] css-host-129 has 4 gpu, falcon-pod-01 requires 5 gpu -> score: -1
I1003 05:26:18.853025       1 event.go:307] "Event occurred" object="default/falcon-pod-01" fieldPath="" kind="Pod" apiVersion="v1" type="Normal" reason="Reconfig" message="Pod falcon-pod-01 needs reconfiguration"
I1003 05:26:55.464801       1 schedule_one.go:252] "Successfully bound pod to node" pod="default/falcon-pod-01" node="css-host-128" evaluatedNodes=2 feasibleNodes=2
I1003 05:27:41.270452       1 log.go:194] falcon-pod-02 in Prefilter
I1003 05:27:41.270973       1 log.go:194] falcon-pod-02 requires 4 gpu(s), and currently has 3 gpus(s) in total
I1003 05:27:41.278215       1 schedule_one.go:867] "Unable to schedule pod; no fit; waiting" pod="default/falcon-pod-02" err="0/2 nodes are available: falcon-pod-02 requires 4 gpu but only 3 gpu in the pool.. preemption: 0/2 nodes are available: 2 No preemption victims found for incoming pod.."
E1003 05:27:41.278354       1 schedule_one.go:902] "Error occurred" err="Pod default/falcon-pod-02 is already present in the active queue"
I1003 05:27:41.287434       1 log.go:194] falcon-pod-02 in Prefilter
I1003 05:27:41.287753       1 log.go:194] falcon-pod-02 requires 4 gpu(s), and currently has 3 gpus(s) in total
I1003 05:27:41.293372       1 schedule_one.go:867] "Unable to schedule pod; no fit; waiting" pod="default/falcon-pod-02" err="0/2 nodes are available: falcon-pod-02 requires 4 gpu but only 3 gpu in the pool.. preemption: 0/2 nodes are available: 2 No preemption victims found for incoming pod.."
E1003 05:27:41.293424       1 schedule_one.go:902] "Error occurred" err="Pod default/falcon-pod-02 is already present in the active queue"
I1003 05:27:41.297781       1 log.go:194] falcon-pod-02 in Prefilter
I1003 05:27:41.298210       1 log.go:194] falcon-pod-02 requires 4 gpu(s), and currently has 3 gpus(s) in total
